number;designationOfficial;lv95East;lv95North
8509175;Tavanasa-Breil/Brigels;2724056.035;1179458.157
8509169;Valendas-Sagogn;2740232.096;1183932.532
8509174;Waltensburg/Vuorz;2728429.85;1181195.953
8509177;Rabius-Surrein;2716088.296;1176831.255
8509176;Trun;2718583.686;1177988.645
8509179;Disentis/Mustér;2708324.814;1173629.428
8509000;Chur;2759397.951;1191228.46
8509002;Landquart;2760969.261;1203988.14
8509006;Chur Wiesental;2759563.878;1192214.495
8509053;Untervaz-Trimmis;2761504.781;1198613.264
8509051;Haldenstein;2759643.323;1193890.158
8509055;Igis;2761837.482;1202053.135
8509050;Chur West;2758326.18442;1190901.05538
8509054;Zizers;2761489.096;1200376.645
8509404;Buchs SG;2754651.563;1226171.291
8509411;Sargans;2752549.277;1212372.612
8509187;Rodels-Realta;2752411.705;1177930.477
8509186;Rothenbrunnen;2751302.113;1181540.922
8509189;Thusis;2753094.889;1173840.043
8509188;Cazis;2752455.619;1176233.524
8509263;Susch;2801732.286;1181271.963
8509262;Zernez;2802746.911;1175254.164
8509265;Guarda;2807094.671;1183617.338
8509255;Pontresina;2788647.451;1151769.173
8509264;Lavin;2804082.224;1183297.008
8509254;Punt Muragl;2787439.682;1153847.94
8509267;Ftan Baraigla;2815232.976;1185698.632
8509257;Madulain;2791550.481;1162585.945
8509266;Ardez;2810943.155;1183976.374
8509256;La Punt Chamues-ch;2790429.51;1161614.945
8509269;Sagliains;2803006.94;1182574.161
8509251;Samedan;2786776.64;1156505.469
8509268;Scuol-Tarasp;2817362.452;1186456.375
8509259;S-chanf;2794790.799;1165455.143
8509258;Zuoz;2793274.762;1164072.6
8509250;Bever;2787858.514;1158335.354
8509260;Cinuos-chel-Brail;2797747.51442;1168423.83323
8509491;Lausanne, Chalet-à-Gobet/Jorat;2542869.02885;1157335.84368
8510421;Crissier, Chicorée;2534110.61799;1154745.76893
8510422;Chavannes-R., Talluchet;2534386.71129;1153398.27869
8510670;Trélex dépôt;2505434.6907;1140215.4629
8510470;Matten b. Interlaken;2633226.0;1169304.0
8510525;St-Sulpice VD, Castolin;2531524.51949;1151737.00211
8510528;St-Sulpice VD, Pré-Fleuri;2532618.27626;1151924.21398
8510527;St-Sulpice VD, Ochettaz-Ormet;2532295.71238;1151769.50184
8510526;St-Sulpice VD, En Champagny;2531784.04427;1151773.36619
8510543;Prilly, Galicien/aréna;2535782.00096;1153352.97217
8510575;Lausanne, César-Roux;2538566.45577;1152861.43397
8510574;Lausanne, Eugène-Rambert;2539346.30412;1151859.15086
8510721;Ecublens VD, Epenex/Pont-Bleu;2533763.3282;1154498.1669
8511209;Villars-Tiercelin, sentier H&N;2544406.2919;1163105.29215
8511210;Carrouge VD, Gustave Roud;2548916.63119;1161553.32655
8511214;Carrouge VD, Champ du Trey;2549079.36735;1161432.60007
8511383;Epalinges, Vaugueny;2540168.1785;1155118.55712
8515296;Brig Bahnhofplatz;2642187.808;1129881.135
8516273;Genève-Eaux-Vives;2501814.213;1117463.107
8516272;Genève-Champel;2500788.552;1116451.201
8516274;Chêne-Bourg;2504180.0;1116886.461
8516155;Lancy-Pont-Rouge;2498572.961;1115793.29
8517142;Lancy-Bachet;2498892.237;1114496.861
8518452;Prilly-Malley;2535856.0067;1153164.2395
8518885;Täsch Monte Rosa;2626004.563;1102612.551
8519077;St-Cergue Les Cheseaux;2500775.172;1144767.527
8530066;Grand-Moulin;2567964.127;1122439.458
8530067;Les Salines;2568306.273;1122684.441
8530064;Bex Pont-Neuf;2567777.804;1122207.0
8530355;Les Arnoux;2565949.494;1126751.547
8530378;Les Neys;2560360.812;1120639.234
8530366;Pont du Rhône;2563242.118;1125082.148
8530430;Route de Morgins;2560098.8206;1120210.88844
8530246;Foyer Dents-du-Midi;2568476.821;1122855.856
8530263;Yverdon William Barbey;2538385.0821;1182298.3072
8530260;Le Locle Le Chalet;2546832.24912;1211883.74157
8530261;Bois-de-Chexbres;2558748.358;1147025.712
8530463;En Charnet;2557416.75;1116323.719
8530523;La Ruaz;2566769.123;1122497.059
8530858;Zermatt Ferienhaus legendär;2624124.0;1096146.0
8530789;Bioggio Molinazzo;2714270.279;1096719.367
8530790;Sorengo Laghetto;2715800.187;1095019.375
8557026;Servion, Vieux-Collège;2549798.0;1158482.0
8557141;Mézières VD, collège Raffort;2548673.0;1160783.0
8570063;Cheseaux-sur-L., gare;2536115.0;1159551.0
8570081;Morges, Vogéaz;2526611.0;1151500.0
8570069;Morges, La Tour;2527306.11914;1151834.78761
8570084;Morges, gare;2527527.52285;1151442.27829
8570090;Morges, Les Pétoleyres;2528308.12773;1152517.9343
8570091;Echichens, Gravelines;2528514.71755;1152879.72737
8570089;Morges, Pâquis;2527951.44519;1151742.49306
8570092;Bremblens, bas du village;2529116.91898;1155267.30483
8570093;Aclens, collège;2528825.0;1157750.0
8570082;Tolochenaz, La Plantaz;2526220.0;1151214.0
8570109;Cossonay-Ville, centre;2528713.11289;1162746.90564
