STOP_NAME;STOP_NUMBER;EVENT;85:151:7069;85:151:7070;85:151:7072;85:151:7073;85:151:7075;85:151:7076;POSITION_X;POSITION_Y
St-Sulpice VD, Pâqueret;8592227;DEPARTURE_REAL;;2025-04-01 01:48:05;;2025-04-01 03:40:00;;2025-04-01 05:04:00;2533389;1152057
Lausanne, Maladière-Figuiers;8593837;ARRIVAL_REAL;2025-04-01 01:12:00;2025-04-01 02:00:14;2025-04-01 02:23:51;2025-04-01 03:52:00;2025-04-01 04:27:00;2025-04-01 05:16:00;2536113;1152075
Lausanne, Maladière-Figuiers;8593837;DEPARTURE_REAL;2025-04-01 01:12:09;2025-04-01 02:00:14;2025-04-01 02:23:51;2025-04-01 03:52:00;2025-04-01 04:27:00;2025-04-01 05:16:00;2536113;1152075
Chavannes-R., Préfaully;8593866;ARRIVAL_REAL;2025-04-01 01:23:28;;2025-04-01 02:36:26;;2025-04-01 04:39:33;;2534059;1153950
Chavannes-R., Préfaully;8593866;DEPARTURE_REAL;2025-04-01 01:23:40;;2025-04-01 02:36:26;;2025-04-01 04:39:33;;2534059;1153950
Chavannes-R., Concorde;8593868;ARRIVAL_REAL;2025-04-01 01:25:01;;2025-04-01 02:37:52;;2025-04-01 04:41:00;;2533691;1153816
Chavannes-R., Concorde;8593868;DEPARTURE_REAL;2025-04-01 01:25:01;;2025-04-01 02:37:52;;2025-04-01 04:41:00;;2533691;1153816
Chavannes-R., Glycines;8593869;ARRIVAL_REAL;2025-04-01 01:26:23;;2025-04-01 02:39:25;;2025-04-01 04:42:32;;2533869;1154252
Chavannes-R., Glycines;8593869;DEPARTURE_REAL;2025-04-01 01:26:25;;2025-04-01 02:39:25;;2025-04-01 04:42:32;;2533869;1154252
Ecublens VD, Montaney;8594890;ARRIVAL_REAL;2025-04-01 01:39:37;;2025-04-01 02:52:01;;2025-04-01 04:55:09;;2532022;1152331
Ecublens VD, Montaney;8594890;DEPARTURE_REAL;2025-04-01 01:39:37;;2025-04-01 02:52:01;;2025-04-01 04:55:09;;2532022;1152331
Chavannes-R., Berges;8594986;ARRIVAL_REAL;;2025-04-01 01:52:57;;2025-04-01 03:44:48;;2025-04-01 05:08:48;2533735;1153276
Chavannes-R., Berges;8594986;DEPARTURE_REAL;;2025-04-01 01:53:05;;2025-04-01 03:44:48;;2025-04-01 05:08:48;2533735;1153276
Chavannes-R., Mouline;8594987;ARRIVAL_REAL;;2025-04-01 01:52:08;;2025-04-01 03:44:00;;2025-04-01 05:08:00;2534069;1153126
Chavannes-R., Mouline;8594987;DEPARTURE_REAL;;2025-04-01 01:52:08;;2025-04-01 03:44:00;;2025-04-01 05:08:00;2534069;1153126
St-Sulpice VD, Venoge nord;8594988;ARRIVAL_REAL;2025-04-01 01:40:58;;2025-04-01 02:53:51;;2025-04-01 04:57:00;;2531466;1151782
St-Sulpice VD, Venoge nord;8594988;DEPARTURE_REAL;2025-04-01 01:40:58;;2025-04-01 02:53:51;;2025-04-01 04:57:00;;2531466;1151782
Lausanne, Bourdonnette nord;8595521;ARRIVAL_REAL;;2025-04-01 01:56:19;;2025-04-01 03:48:00;;2025-04-01 05:12:00;2534825;1152975
Lausanne, Bourdonnette nord;8595521;DEPARTURE_REAL;;2025-04-01 01:56:25;;2025-04-01 03:48:00;;2025-04-01 05:12:00;2534825;1152975
Chavannes-R., Dorigny;8595602;ARRIVAL_REAL;;2025-04-01 01:55:16;;2025-04-01 03:46:53;;2025-04-01 05:10:53;2534420;1153187
Chavannes-R., Dorigny;8595602;DEPARTURE_REAL;;2025-04-01 01:55:16;;2025-04-01 03:46:53;;2025-04-01 05:10:53;2534420;1153187
