           STOP_NAME            ; STOP_NUMBER ;     EVENT      ;     85:151:7069     ;     85:151:7070     ;     85:151:7072     ;     85:151:7073     ;     85:151:7075     ;     85:151:7076     
    Lausanne, Maladière-Figuiers;      8593837;  DEPARTURE_REAL;  2025-04-01 01:12:09;  2025-04-01 02:00:14;  2025-04-01 02:23:51;  2025-04-01 03:52:00;  2025-04-01 04:27:00;  2025-04-01 05:16:00
              Lausanne, Figuiers;      8592044;    ARRIVAL_REAL;  2025-04-01 01:11:24;  2025-04-01 02:00:34;  2025-04-01 02:23:00;  2025-04-01 03:52:34;  2025-04-01 04:26:09;  2025-04-01 05:16:34
              Lausanne, Figuiers;      8592044;  DEPARTURE_REAL;  2025-04-01 01:11:24;  2025-04-01 02:00:34;  2025-04-01 02:23:00;  2025-04-01 03:52:34;  2025-04-01 04:26:09;  2025-04-01 05:16:34
               Lausanne, Montoie;      8592080;    ARRIVAL_REAL;  2025-04-01 01:10:01;  2025-04-01 02:01:52;  2025-04-01 02:21:51;  2025-04-01 03:54:00;  2025-04-01 04:25:00;  2025-04-01 05:18:00
               Lausanne, Montoie;      8592080;  DEPARTURE_REAL;  2025-04-01 01:10:19;  2025-04-01 02:01:59;  2025-04-01 02:21:51;  2025-04-01 03:54:00;  2025-04-01 04:25:00;  2025-04-01 05:18:00
              Lausanne, Montelly;      8501207;    ARRIVAL_REAL;  2025-04-01 01:08:06;                     ;  2025-04-01 02:19:23;                     ;  2025-04-01 04:22:31;                     
              Lausanne, Montelly;      8501207;  DEPARTURE_REAL;  2025-04-01 01:08:06;                     ;  2025-04-01 02:19:23;                     ;  2025-04-01 04:22:31;                     
             Lausanne, Belvédère;      8591990;    ARRIVAL_REAL;  2025-04-01 01:05:10;  2025-04-01 02:06:09;  2025-04-01 02:17:51;  2025-04-01 03:57:00;  2025-04-01 04:21:00;  2025-04-01 05:21:00
             Lausanne, Belvédère;      8591990;  DEPARTURE_REAL;  2025-04-01 01:05:10;  2025-04-01 02:06:09;  2025-04-01 02:17:51;  2025-04-01 03:57:00;  2025-04-01 04:21:00;  2025-04-01 05:21:00
                Lausanne, Tivoli;      8592122;    ARRIVAL_REAL;  2025-04-01 01:04:24;  2025-04-01 02:06:54;  2025-04-01 02:16:51;  2025-04-01 03:58:00;  2025-04-01 04:20:00;  2025-04-01 05:22:00
                Lausanne, Tivoli;      8592122;  DEPARTURE_REAL;  2025-04-01 01:04:36;  2025-04-01 02:06:54;  2025-04-01 02:16:51;  2025-04-01 03:58:00;  2025-04-01 04:20:00;  2025-04-01 05:22:00
             Lausanne, Chauderon;      8592010;    ARRIVAL_REAL;  2025-04-01 01:02:08;  2025-04-01 02:08:36;  2025-04-01 02:14:51;  2025-04-01 04:00:00;  2025-04-01 04:18:00;  2025-04-01 05:24:00
             Lausanne, Chauderon;      8592010;  DEPARTURE_REAL;  2025-04-01 01:02:46;  2025-04-01 02:08:46;  2025-04-01 02:14:51;  2025-04-01 04:00:00;  2025-04-01 04:18:00;  2025-04-01 05:24:00
               Lausanne, Bel-Air;      8591988;    ARRIVAL_REAL;  2025-04-01 01:00:55;  2025-04-01 02:10:15;  2025-04-01 02:13:51;  2025-04-01 04:02:00;  2025-04-01 04:17:00;  2025-04-01 05:26:00
               Lausanne, Bel-Air;      8591988;  DEPARTURE_REAL;  2025-04-01 01:01:08;  2025-04-01 02:10:15;  2025-04-01 02:13:51;  2025-04-01 04:02:00;  2025-04-01 04:17:00;  2025-04-01 05:26:00
           Lausanne, St-François;      8579254;    ARRIVAL_REAL;                     ;  2025-04-01 02:11:25;                     ;  2025-04-01 04:05:00;                     ;  2025-04-01 05:29:00
           Lausanne, St-François;      8579254;  DEPARTURE_REAL;  2025-04-01 00:59:16;                     ;  2025-04-01 02:12:19;                     ;  2025-04-01 04:15:00;                     
